Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Job_Openings_2024,Projected_Openings_2030,Remote_Work_Ratio_Pct,Automation_Risk_Pct,Location,Gender_Diversity_Pct
Research scientist (life sciences),Finance,Decreasing,Moderate,121278.59,Master’s Degree,0,7301,8786,67.12,30.65,Canada,30.01
TEFL teacher,Entertainment,Increasing,Moderate,118944.32,High School,9,500,7528,47.11,74.05,USA,58.02
"Editor, magazine features",Entertainment,Increasing,Low,95884.27,Master’s Degree,15,4897,6962,14.18,47.36,India,34.39
"Journalist, magazine",Entertainment,Increasing,Low,139808.82,Bachelor’s Degree,8,3068,2711,77.63,64.27,China,55.36
"Engineer, land",Transportation,Increasing,Low,51687.18,High School,15,3728,6498,34.16,79.77,Australia,25.64
Software engineer,Retail,Increasing,Low,142012.17,Bachelor’s Degree,6,4808,1264,66.85,31.65,China,45.15
"Journalist, magazine",Retail,Increasing,High,131878.57,Associate Degree,15,1320,2455,35.64,71.15,USA,73.2
Administrator,Finance,Increasing,Moderate,132462.8,High School,6,3710,8429,45.87,21.38,UK,70.35
Telecommunications researcher,Education,Increasing,High,65471.32,Associate Degree,11,2547,4029,79.9,32.62,Canada,42.03
"Nurse, adult",Manufacturing,Decreasing,Low,60548.87,PhD,16,4044,438,96.89,1.07,Germany,32.83
Music tutor,IT,Decreasing,Low,135581.97,PhD,18,6574,4081,33.82,1.08,Canada,36.45
Optometrist,Transportation,Decreasing,Low,86169.11,Associate Degree,2,8928,9980,20.58,36.35,Canada,27.78
Higher education careers adviser,Transportation,Increasing,Low,50965.92,Associate Degree,13,2072,5743,74.79,79.14,USA,60.39
Arboriculturist,Finance,Decreasing,High,42216.24,Associate Degree,11,3949,1899,23.01,77.28,Australia,26.12
Brewing technologist,Finance,Increasing,High,53110.22,Master’s Degree,4,2320,9608,33.82,33.51,Germany,70.27
Housing manager/officer,Education,Decreasing,Moderate,97658.41,Master’s Degree,13,8979,1824,79.93,17.14,Brazil,45.47
Commercial/residential surveyor,Manufacturing,Increasing,High,69595.42,Bachelor’s Degree,0,1736,9056,57.91,7.37,India,59.29
Aid worker,Manufacturing,Decreasing,Moderate,97701.02,Bachelor’s Degree,18,2847,8281,57.94,92.84,UK,75.5
Horticultural therapist,Retail,Decreasing,Moderate,111377.76,High School,4,7154,2363,61.15,62.25,India,40.13
Telecommunications researcher,Finance,Decreasing,Low,50902.05,High School,19,2490,1752,16.46,13.33,China,64.03
